ChargingStation;Unit;Value;MinLevelValue;MaxLevelValue;StartHour;EndHour
BRG-90011;min;0.005;0;NA;NA;NA
BRG-90012;min;0.009;0;NA;NA;NA
BRG-90013;min;0.0046;0;NA;NA;NA
BRG-90014;min;0.006;0;NA;NA;NA
BRR-00003;charge;0.3;0;NA;NA;NA
BRR-00003;min;0.115;0;NA;NA;NA
BRR-00004;charge;0.2964;0;NA;NA;NA
BRR-00004;min;0.03;0;NA;NA;NA
BRR-00005;charge;0.2964;0;NA;NA;NA
BRR-00005;min;0.03;0;NA;NA;NA
BRR-00006;min;0.08;0;NA;NA;NA
BRR-00008;min;0.025;0;NA;NA;NA
BRR-00009;min;0.025;0;NA;NA;NA
BRR-00010;min;0.025;0;NA;NA;NA
BRR-00011;min;0.025;0;NA;NA;NA
BRR-00016;charge;0.297;0;NA;NA;NA
BRR-00016;kWh;0.07;0;NA;NA;NA
BRR-00016;min;0.09;0;NA;NA;NA
BRR-90002;min;0.02;0;NA;NA;NA
BTC-90001;min;0.025;0;NA;NA;NA
BTL-00002;min;0.04;0;NA;NA;NA
BTL-90001;min;0.031;0;NA;NA;NA
BTL-90003;min;0.02;0;NA;NA;NA
CBA-90001;min;0.02;0;NA;NA;NA
CBC-90010;min;0.02;0;NA;NA;NA
CBR-00010;charge;0.3;0;NA;NA;NA
CBR-00010;kWh;0.156;0;NA;NA;NA
CBR-00011;charge;2.5;0;NA;NA;NA
CBR-00011;min;0;0;25;NA;NA
CBR-00011;min;0.1;25;NA;NA;NA
CBR-00012;charge;2.2;0;NA;NA;NA
CBR-00012;min;0;0;60;NA;NA
CBR-00012;min;0.036;60;NA;NA;NA
CBR-00013;charge;2.2;0;NA;NA;NA
CBR-00013;min;0;0;60;NA;NA
CBR-00013;min;0.036;60;NA;NA;NA
CBR-00014;charge;0.3;0;NA;NA;NA
CBR-00014;min;0.03;0;NA;NA;NA
CBR-00015;charge;0.3;0;NA;NA;NA
CBR-00015;min;0.03;0;NA;NA;NA
